Bird.ID,year,Infection,Un.ID,sample,samplea,sampleb,day,Mass,Fat.Score,Eye.Score.Left,Eye.Score.Right,Eye,hem,ant,anta,pathlog
646,2020,first,646first,0,0,0,10,,,0.5,0.5,1,,,,
646,2020,first,646first,0,1,0,14,17.65,1,0,0,0,59,,,
646,2020,first,646first,0,0,0,17,,,0,0,0,,,,
646,2020,first,646first,0,1,0,21,18.11,1,0,0,0,57,,,
648,2020,first,648first,0,1,0,0,18,1.5,0,0,0,51,,,
648,2020,first,648first,0,1,0,1,17.75,1.5,0,0,0,,,,
648,2020,first,648first,0,1,0,3,17.48,1,0.5,1,1.5,,,,
648,2020,first,648first,0,1,0,5,16.25,0.5,2,2,4,,,,
648,2020,first,648first,0,1,0,7,15.36,0.5,2,2,4,,,,
648,2020,first,648first,0,0,0,10,,,0.5,0.5,1,,,,
648,2020,first,648first,0,1,0,14,18.21,2,0,0.5,0.5,55,,,
648,2020,first,648first,0,0,0,17,,,0,0,0,,,,
648,2020,first,648first,0,1,0,21,18.48,2,0,0,0,57,,,
649,2020,first,649first,0,1,0,0,18.03,1,0,0,0,47,,,
649,2020,first,649first,0,1,0,1,18.48,1,0,0,0,,,,
649,2020,first,649first,0,1,0,3,18.6,1,0,0.5,0.5,,,,
649,2020,first,649first,0,1,0,5,18.91,1.5,1,2,3,,,,
649,2020,first,649first,0,1,0,7,18.54,1.5,2,2.5,4.5,49,,,
649,2020,first,649first,0,0,0,10,,,1,1,2,,,,
649,2020,first,649first,0,1,0,14,18.5,0.5,0,0.5,0.5,51,,,
649,2020,first,649first,0,0,0,17,,,0,0,0,,,,
649,2020,first,649first,0,1,0,21,18.74,1,0,0,0,55,,,
652,2020,first,652first,0,1,0,0,18.25,1,0,0,0,51,,,
652,2020,first,652first,0,1,0,1,18.49,1,0,0,0,,,,
652,2020,first,652first,0,1,0,3,18.49,0.5,0,0,0,,,,
652,2020,first,652first,0,1,0,5,16.67,1,0.5,0,0.5,,,,
652,2020,first,652first,0,1,0,7,18.65,1,0,0,0,50,,,
652,2020,first,652first,0,0,0,10,,,0,0,0,,,,
652,2020,first,652first,0,1,0,14,18.66,0.5,0,0,0,52,,,
652,2020,first,652first,0,0,0,17,,,0,0,0,,,,
652,2020,first,652first,0,1,0,21,18.3,1,0,0,0,53,,,
654,2020,first,654first,1,1,1,0,18.2,2,0,0,0,51,-0.004582776,neg,0
654,2020,first,654first,1,1,0,1,18.12,1,0,0,0,,,,14.85388
654,2020,first,654first,1,1,0,3,17.57,1.5,0.5,0.5,1,,,,18.80965
654,2020,first,654first,1,1,0,5,18.14,1,1.5,1,2.5,,,,16.08881
654,2020,first,654first,1,1,1,7,17.87,1.5,1,0.5,1.5,49,-0.001145694,neg,15.512
654,2020,first,654first,1,0,0,10,,,0,0,0,,,,
654,2020,first,654first,1,1,1,14,18.58,1,0,0,0,53,0.035326714,pos,0
654,2020,first,654first,1,0,0,17,,,0,0,0,,,,
654,2020,first,654first,1,1,1,21,18.53,0.5,0,0,0,52,0.004156084,neg,0
657,2020,first,657first,1,1,1,0,18.64,1,0,0,0,52,0.012029788,neg,
657,2020,first,657first,1,1,0,1,18.04,1,0,0,0,,,,15.3166
657,2020,first,657first,1,1,0,3,18.34,1,0.5,0.5,1,,,,17.67943
657,2020,first,657first,1,1,0,5,16.95,0.5,3,1,4,,,,16.66562
657,2020,first,657first,1,1,1,7,16.95,0.5,2.5,0.5,3,58,0.052701929,pos,16.66562
657,2020,first,657first,1,0,0,10,,,1,0.5,1.5,,,,
657,2020,first,657first,1,1,1,14,19.07,1.5,0,0,0,55,0.017317017,neg,17.11432
657,2020,first,657first,1,0,0,17,,,0,0,0,,,,
657,2020,first,657first,1,1,1,21,19.53,0.5,0,0,0,55,0.03117063,pos,11.336
660,2020,first,660first,1,1,1,0,19.75,1,0,0,0,48,-0.004009929,neg,0
660,2020,first,660first,1,1,0,1,19.06,0.5,0,0,0,,,,13.5532
660,2020,first,660first,1,1,0,3,19.37,1,0.5,0.5,1,,,,17.67943
660,2020,first,660first,1,1,0,5,18.44,0.5,3,3,6,,,,20.12648
660,2020,first,660first,1,1,1,7,18.3,0.5,3,3,6,45,0.012602635,neg,18.27114
660,2020,first,660first,1,0,0,10,,,3,3,6,,,,
660,2020,first,660first,1,1,1,14,20.44,1.5,3,3,6,50,0.065111983,pos,12.20607
660,2020,first,660first,1,0,0,17,,,3,2,5,,,,
660,2020,first,660first,1,1,0,21,19.3,0,2,2,4,59,,,14.873
662,2020,first,662first,1,1,1,0,18.81,0.5,0,0,0,54,0.012029788,neg,0
662,2020,first,662first,1,1,0,1,17.98,0.5,0,0,0,,,,14.7288
662,2020,first,662first,1,1,0,3,17.51,0.5,1,1,2,,,,17.67943
662,2020,first,662first,1,1,0,5,17.13,0.5,3,2.5,5.5,,,,17.81924
662,2020,first,662first,1,1,1,7,18.43,1,2,1.5,3.5,57,0.049264846,pos,13.86018
662,2020,first,662first,1,0,0,10,,,1.5,1.5,3,,,,
662,2020,first,662first,1,1,1,14,18.96,1,0.5,0,0.5,52,0.014546294,neg,0
