Bird.ID,year,Infection,Un.ID,sample,samplea,sampleb,day,Mass,Fat.Score,Eye.Score.Left,Eye.Score.Right,Eye,hem,ant,anta,pathlog
654,2020,first,654first,1,1,1,7,17.87,1.5,1,0.5,1.5,49,-0.001145694,neg,2.603812909
654,2020,first,654first,1,0,0,10,,,0,0,0,,,,
654,2020,first,654first,1,1,1,14,18.58,1,0,0,0,53,0.035326714,pos,1.512530924
654,2020,first,654first,1,0,0,17,,,0,0,0,,,,
654,2020,first,654first,1,1,1,21,18.53,0.5,0,0,0,52,0.004156084,neg,0
657,2020,first,657first,1,1,1,0,18.64,1,0,0,0,52,0.012029788,neg,
657,2020,first,657first,1,1,0,1,18.04,1,0,0,0,,,,2.683320098
657,2020,first,657first,1,1,0,3,18.34,1,0.5,0.5,1,,,,2.809095543
657,2020,first,657first,1,1,0,5,16.95,0.5,3,1,4,,,,2.759411415
657,2020,first,657first,1,1,1,7,16.95,0.5,2.5,0.5,3,58,0.052701929,pos,2.752417076
657,2020,first,657first,1,0,0,10,,,1,0.5,1.5,,,,
657,2020,first,657first,1,1,1,14,19.07,1.5,0,0,0,55,0.017317017,neg,2.834279311
657,2020,first,657first,1,0,0,17,,,0,0,0,,,,
657,2020,first,657first,1,1,1,21,19.53,0.5,0,0,0,55,0.03117063,pos,2.100095471
660,2020,first,660first,1,1,1,0,19.75,1,0,0,0,48,-0.004009929,neg,0
660,2020,first,660first,1,1,0,1,19.06,0.5,0,0,0,,,,2.558572422
660,2020,first,660first,1,1,0,3,19.37,1,0.5,0.5,1,,,,2.775460243
660,2020,first,660first,1,1,0,5,18.44,0.5,3,3,6,,,,2.954855042
660,2020,first,660first,1,1,1,7,18.3,0.5,3,3,6,45,0.012602635,neg,2.821547596
660,2020,first,660first,1,0,0,10,,,3,3,6,,,,
660,2020,first,660first,1,1,1,14,20.44,1.5,3,3,6,50,0.065111983,pos,2.248805675
660,2020,first,660first,1,0,0,17,,,3,2,5,,,,
660,2020,first,660first,1,1,0,21,19.3,0,2,2,4,59,,,2.551802731
662,2020,first,662first,1,1,1,0,18.81,0.5,0,0,0,54,0.012029788,neg,0
662,2020,first,662first,1,1,0,1,17.98,0.5,0,0,0,,,,2.632677854
662,2020,first,662first,1,1,0,3,17.51,0.5,1,1,2,,,,2.837945364
662,2020,first,662first,1,1,0,5,17.13,0.5,3,2.5,5.5,,,,2.853023064
662,2020,first,662first,1,1,1,7,18.43,1,2,1.5,3.5,57,0.049264846,pos,2.421874689
662,2020,first,662first,1,0,0,10,,,1.5,1.5,3,,,,
662,2020,first,662first,1,1,1,14,18.96,1,0.5,0,0.5,52,0.014546294,neg,1.612920245
662,2020,first,662first,1,0,0,17,,,0.5,0,0.5,,,,
662,2020,first,662first,1,1,0,21,20.38,1,0,0,0,52,,,0
664,2020,first,664first,1,1,1,0,22.06,0.5,0,0,0,51,0.047546305,pos,0
664,2020,first,664first,1,1,0,1,21.61,0,0,0,0,,,,2.613654458
664,2020,first,664first,1,1,0,3,21.84,0.5,0.5,0,0.5,,,,2.627360446
664,2020,first,664first,1,1,0,5,21.95,0,0.5,1,1.5,,,,2.656764788
664,2020,first,664first,1,1,1,7,21.83,0.5,0,3,3,54,-0.000692681,neg,2.766971027
664,2020,first,664first,1,0,0,10,,,0,3,3,,,,
664,2020,first,664first,1,1,1,14,21.06,0.5,0,2,2,65,0.068575387,pos,2.115762207
664,2020,first,664first,1,0,0,17,,,0,0.5,0.5,,,,
664,2020,first,664first,1,1,1,21,23.43,0,0,0,0,59,0.049873009,pos,0
665,2020,first,665first,1,1,1,0,18.7,1,0,0,0,53,0.002291388,neg,0
665,2020,first,665first,1,1,0,1,18.13,1,0,0,0,,,,2.589824873
665,2020,first,665first,1,1,0,3,18.04,1,0.5,0,0.5,,,,2.718181255
665,2020,first,665first,1,1,0,5,18.07,0.5,0.5,0.5,1,,,,2.602085787
665,2020,first,665first,1,1,1,7,18.37,0.5,0,0,0,47,0.007619487,neg,0
665,2020,first,665first,1,0,0,10,,,0,0,0,,,,
665,2020,first,665first,1,1,1,14,19.37,1,0,0,0,54,0.005541445,neg,1.639995968
665,2020,first,665first,1,0,0,17,,,0,0,0,,,,
665,2020,first,665first,1,1,0,21,19.74,0.5,0,0,0,55,,,1.185552021
667,2020,first,667first,1,1,1,0,20.25,2,0,0,0,49,-0.000572847,neg,1.471270751
667,2020,first,667first,1,1,0,1,19.35,2,0,0,0,,,,2.570857418
